Feature ID	Taxon	Confidence
ee797d6a535c9a3afb8ad4497a3ae16c	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.9999278332354129
0b85d3a867923c7edc89d6dcc01883ff	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.9999279237920142
4b0dc30c23dd323e251bbdef5aa278e7	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.999999934255066
1acdc802f95995936f505ba03db3f60b	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.999999943197541
ca801121535f2f75e33b9124a60e30a5	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.9999980238437176
1421cf1dfdcce592014df5628cb87af6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae	0.8892795753613303
37af9ac8a3dd53299a03a6ba4353b2d2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae	0.9196598699760475
5a737995688aefa96dd04caea0fdf5d6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	0.9999329674157165
309d12110557a51c9f6d0bffe2e1b4b1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.9999928237626078
e49a8fc993bd42116678b0739dba05d9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.9999999991786914
64a38ce75d2651200681dc6f45591161	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae	0.870719187621022
037abde92a337e05aff45440d33b39e5	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.9999999999808532
0b3460193530190caa96336610982f15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.9999972370436372
1dc14ed914f2a4794674642fd8b0694b	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii	0.9989383299326248
c58f00e104454baf01bcccda47518e46	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.9995767114365952
8172a7f671121e7e13c48c4eb46312a8	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae	0.7038681993115758
