Model,Accuracy,Precision,Recall,F1-score
RandomForest,0.7796610169491526,0.8333333333333334,0.6896551724137931,0.7547169811320755
XGBoost,0.7627118644067796,0.7586206896551724,0.7586206896551724,0.7586206896551724
SVM_sigmoid,0.7966101694915254,0.84,0.7241379310344828,0.7777777777777778
LogisticRegression,0.7796610169491526,0.8333333333333334,0.6896551724137931,0.7547169811320755
NaiveBayes,0.711864406779661,0.6875,0.7586206896551724,0.7213114754098361
Ensemble,0.7796610169491526,0.8076923076923077,0.7241379310344828,0.7636363636363637
